N,P,K,temperature,humidity,ph,rainfall,label
79.36,54.01,42.32,24.59,80.78,5.73,200.52,rice
91.65,47.02,42.08,21.12,84.85,6.75,215.17,rice
74.55,38.67,38.04,24.15,82.16,5.94,253.13,rice
73.49,40.84,38.66,23.74,83.93,5.8,243.85,rice
84.81,35.93,41.08,22.02,80.33,6.92,286.74,rice
90.21,41.09,35.98,25.11,82.2,5.68,242.04,rice
70.86,53.19,37.59,24.98,81.56,6.28,246.94,rice
74.62,54.39,42.75,26.64,84.47,6.4,282.58,rice
72.21,38.92,35.45,22.95,81.94,5.91,273.73,rice
78.92,40.62,40.43,21.85,84.01,5.61,288.75,rice
89.31,38.97,35.06,25.89,83.53,6.59,268.27,rice
71.85,42.17,36.16,26.18,83.12,6.0,201.04,rice
77.77,41.5,42.3,24.83,84.44,6.21,206.36,rice
87.83,50.22,40.61,25.63,82.47,6.28,235.62,rice
70.64,37.16,35.31,24.82,81.57,6.26,281.22,rice
76.23,43.21,42.56,22.37,80.38,5.93,210.32,rice
93.24,51.16,41.33,26.23,84.02,5.78,279.79,rice
83.48,51.15,43.96,22.91,80.55,5.84,235.58,rice
90.45,52.21,35.07,24.06,82.09,5.83,206.39,rice
78.44,53.86,38.23,24.11,83.52,6.05,287.32,rice
94.06,40.04,39.97,22.81,81.42,5.56,252.91,rice
82.57,36.03,37.79,26.45,81.2,5.72,241.5,rice
94.64,39.84,41.72,25.57,81.19,6.59,229.94,rice
85.81,47.67,40.36,21.54,84.18,5.98,212.72,rice
71.02,46.82,41.78,21.1,82.56,5.84,256.29,rice
74.36,48.82,38.87,26.62,80.69,6.01,205.78,rice
93.12,52.55,37.58,24.96,84.09,6.33,245.32,rice
76.05,36.86,43.97,26.4,83.17,6.01,228.17,rice
88.15,52.94,43.87,25.68,83.21,5.63,210.35,rice
92.46,47.13,35.09,21.61,83.32,5.51,210.28,rice
83.72,48.84,41.52,22.35,83.56,5.86,225.91,rice
88.66,47.99,43.49,24.95,82.84,5.64,229.93,rice
76.63,39.88,44.73,23.36,84.46,6.45,270.51,rice
82.57,46.54,39.93,22.17,83.61,5.92,197.31,rice
86.14,38.54,44.4,26.72,84.57,6.06,196.47,rice
93.21,43.56,44.67,26.78,84.27,5.94,231.58,rice
91.28,41.34,36.69,24.34,84.68,6.54,249.16,rice
72.43,47.3,44.9,21.84,82.59,6.82,265.37,rice
87.43,49.05,38.59,22.76,84.05,6.72,277.37,rice
92.83,45.23,40.02,25.79,83.25,6.55,270.6,rice
92.25,41.76,38.76,21.56,82.89,5.55,239.23,rice
83.57,40.73,40.91,21.18,80.19,6.73,229.22,rice
73.18,45.44,42.7,22.29,83.11,5.63,199.91,rice
83.28,45.81,41.37,25.36,84.88,6.27,225.68,rice
89.88,40.42,39.39,21.47,80.13,6.94,274.42,rice
87.4,43.18,36.73,21.94,81.25,6.32,262.89,rice
86.5,40.6,44.55,25.43,82.77,6.42,234.86,rice
76.19,42.12,42.58,21.09,80.58,5.57,198.87,rice
91.39,49.07,39.74,21.59,82.46,6.21,211.45,rice
80.85,42.97,41.16,24.81,80.23,6.06,254.46,rice
82.58,52.13,41.59,21.98,80.35,6.46,197.52,rice
84.64,53.8,40.75,23.33,83.22,6.19,246.83,rice
93.54,42.72,44.61,26.43,80.98,5.6,204.57,rice
70.46,36.89,41.83,21.43,81.59,6.77,197.21,rice
90.36,40.64,36.18,25.18,83.14,6.82,264.83,rice
90.09,40.64,36.77,25.5,84.03,6.99,234.2,rice
79.3,50.53,38.41,26.58,84.29,6.14,266.33,rice
88.86,37.06,44.03,24.03,84.13,5.98,280.07,rice
79.73,35.22,44.05,21.55,81.6,6.93,285.31,rice
84.34,47.64,39.48,22.76,81.64,6.51,266.48,rice
89.79,50.79,35.91,23.97,80.29,6.32,236.95,rice
92.19,42.02,36.17,21.86,83.81,6.43,204.61,rice
72.1,49.02,35.73,25.93,83.53,5.62,203.06,rice
94.67,42.49,38.71,25.88,84.74,6.98,266.57,rice
79.41,36.67,42.77,24.35,82.12,6.86,205.56,rice
82.32,35.23,39.69,21.34,80.59,5.68,256.67,rice
88.65,46.67,44.62,23.25,81.43,6.8,216.24,rice
94.08,35.24,44.7,21.26,84.46,6.29,289.33,rice
71.84,46.08,44.69,24.14,83.15,6.54,238.18,rice
85.69,46.69,44.01,21.27,81.4,6.93,279.58,rice
81.39,47.4,37.77,22.13,82.32,6.03,250.45,rice
71.94,54.49,44.86,25.19,82.68,5.96,272.31,rice
87.12,38.25,44.11,25.94,84.75,6.59,253.27,rice
80.46,53.65,43.66,21.27,80.13,6.06,272.0,rice
94.68,38.01,40.94,23.29,84.85,6.76,274.64,rice
81.72,43.3,37.73,21.34,84.32,6.72,289.97,rice
94.92,46.11,42.69,26.67,84.25,5.87,237.8,rice
73.23,54.08,41.06,22.37,83.36,6.43,229.03,rice
72.84,48.43,40.2,25.63,82.6,6.78,247.43,rice
84.02,52.53,39.03,21.8,80.14,6.63,253.93,rice
87.6,39.26,36.36,21.09,81.75,6.38,232.26,rice
80.94,53.08,38.48,24.08,83.92,6.09,254.1,rice
91.56,53.99,36.47,26.56,82.46,5.89,238.62,rice
94.5,44.85,38.29,24.8,81.2,5.61,207.24,rice
73.2,38.04,36.39,24.85,80.91,6.02,280.19,rice
81.85,48.35,36.72,22.15,80.2,5.75,221.47,rice
74.43,36.77,36.21,23.76,81.03,6.05,242.82,rice
87.26,35.79,42.99,24.77,80.41,6.81,282.48,rice
71.53,40.54,43.06,25.49,80.92,5.81,230.19,rice
82.11,47.37,38.69,23.78,83.74,5.56,218.98,rice
87.83,52.9,40.12,24.19,80.54,6.17,245.6,rice
76.06,40.38,38.77,21.12,81.61,5.82,226.11,rice
72.99,52.81,40.94,25.07,83.95,6.25,203.26,rice
83.43,46.74,42.45,23.59,80.64,5.93,229.49,rice
86.15,46.42,38.56,26.92,83.03,5.86,204.67,rice
73.82,39.92,36.61,22.12,81.43,5.76,280.19,rice
72.01,45.49,39.1,26.89,80.56,6.1,287.1,rice
91.64,51.34,37.58,22.03,83.34,6.89,247.89,rice
84.29,40.6,42.69,22.12,81.62,6.14,243.22,rice
76.06,37.3,41.11,22.73,82.91,5.73,240.71,rice
81.3,36.3,18.37,19.21,56.27,6.98,76.12,maize
92.39,41.37,21.82,24.84,66.91,6.21,80.59,maize
73.95,58.24,23.31,26.69,57.49,6.6,106.92,maize
67.25,36.66,22.41,23.17,71.84,5.71,99.76,maize
68.07,39.09,16.64,25.33,68.3,6.28,77.94,maize
95.09,44.81,23.17,21.95,62.54,6.19,75.07,maize
89.9,47.57,17.32,26.1,62.68,6.32,105.32,maize
84.97,37.92,24.4,23.65,61.7,5.71,99.7,maize
84.8,48.34,23.94,25.1,58.03,5.97,72.42,maize
89.76,35.84,20.7,24.86,72.54,6.01,101.06,maize
64.43,56.16,16.27,21.58,70.95,5.72,71.46,maize
88.89,53.0,21.41,24.25,65.85,5.88,77.28,maize
67.26,57.71,20.83,21.61,64.24,6.92,67.67,maize
83.45,47.65,21.11,18.16,72.44,6.9,88.26,maize
87.87,58.06,22.07,19.37,66.53,6.41,81.21,maize
89.46,58.36,24.26,22.06,57.26,6.98,101.94,maize
64.99,58.02,23.7,22.67,66.83,6.1,62.74,maize
73.41,55.07,15.05,21.0,62.96,6.31,105.99,maize
73.85,43.67,22.38,22.07,59.49,6.18,67.04,maize
67.06,47.46,19.19,26.23,62.25,6.37,91.61,maize
60.52,51.59,16.78,26.65,57.97,6.12,64.27,maize
99.87,47.55,20.95,18.6,70.0,5.81,104.9,maize
68.21,39.77,15.37,22.25,66.3,5.6,98.78,maize
78.13,48.11,19.41,21.61,66.19,5.73,69.1,maize
94.47,58.65,18.73,20.44,67.88,6.11,61.27,maize
66.25,52.9,21.59,18.24,59.44,5.85,93.59,maize
60.79,37.6,23.0,19.61,68.05,5.86,64.97,maize
69.73,53.06,23.56,25.47,62.94,6.5,70.25,maize
71.73,57.41,15.13,18.77,59.16,5.54,69.07,maize
83.32,45.54,23.93,25.36,61.84,5.89,78.98,maize
83.61,41.7,21.24,21.68,66.04,6.15,74.72,maize
97.94,54.09,16.4,25.82,64.75,6.84,99.99,maize
77.01,35.56,17.69,22.87,67.67,5.89,66.97,maize
93.4,59.61,20.26,19.55,60.45,5.53,105.71,maize
64.71,49.41,17.74,22.99,68.03,6.74,70.32,maize
60.44,38.42,24.0,25.87,66.95,6.4,93.25,maize
67.01,57.86,19.19,21.45,65.38,5.57,68.31,maize
89.52,37.07,21.03,20.21,62.79,5.93,77.78,maize
88.76,42.43,20.66,22.28,68.27,6.91,96.63,maize
68.6,35.78,17.62,23.36,56.03,6.24,89.84,maize
73.37,54.27,16.07,18.68,69.56,6.24,94.42,maize
77.39,41.16,23.19,25.19,68.89,5.91,89.51,maize
74.44,37.29,24.17,19.23,74.0,6.17,69.26,maize
81.68,56.82,22.32,25.26,68.18,6.54,102.46,maize
69.99,47.24,17.21,26.89,73.88,5.56,95.28,maize
97.01,39.51,20.68,26.24,55.68,6.55,74.87,maize
96.98,59.28,24.44,22.27,72.24,6.77,75.96,maize
93.16,35.93,20.96,20.07,57.41,5.62,94.81,maize
73.59,53.12,15.65,20.84,65.79,6.69,75.94,maize
85.04,57.15,21.16,20.1,55.49,6.81,61.06,maize
94.99,48.22,24.39,25.19,74.96,6.03,98.36,maize
76.08,47.0,21.28,25.86,74.68,6.65,80.89,maize
76.85,53.44,17.39,18.99,62.09,5.93,74.82,maize
69.34,36.05,15.18,26.89,63.56,6.08,93.98,maize
68.73,58.75,22.86,18.8,63.35,6.82,107.24,maize
78.7,50.34,16.67,26.92,59.63,6.91,92.48,maize
84.31,47.82,17.31,19.59,59.41,5.78,98.98,maize
74.01,36.45,24.69,25.95,73.56,6.99,68.69,maize
75.85,53.96,21.96,19.39,71.32,5.84,71.19,maize
81.48,49.82,20.8,18.82,72.55,5.9,66.48,maize
95.55,58.89,23.62,25.29,68.1,6.33,64.35,maize
76.34,44.32,17.6,24.51,64.92,5.62,71.01,maize
87.33,36.9,23.51,22.46,64.61,6.39,101.23,maize
73.91,51.95,20.66,20.4,72.57,6.7,92.92,maize
94.02,56.68,22.08,25.53,68.95,6.52,90.93,maize
90.11,38.97,23.81,25.85,55.58,6.74,66.44,maize
73.4,53.59,16.61,25.36,71.64,6.26,60.32,maize
71.48,50.42,24.81,23.69,60.2,6.45,87.0,maize
91.19,37.67,22.61,22.87,74.26,6.01,91.63,maize
97.28,37.56,24.37,24.19,56.36,5.95,95.41,maize
62.69,49.55,18.46,23.59,55.91,6.81,108.67,maize
98.76,53.74,16.3,24.82,55.49,5.53,76.18,maize
79.55,54.26,21.83,22.01,60.47,7.0,81.31,maize
78.06,39.09,22.95,24.24,59.42,5.62,94.02,maize
86.18,41.83,24.51,19.36,63.65,6.92,80.99,maize
85.54,44.94,17.74,26.86,63.19,6.84,71.5,maize
68.52,35.78,21.52,21.32,72.29,6.21,108.41,maize
67.42,56.72,22.77,24.94,71.9,6.64,91.31,maize
65.25,35.81,24.21,23.55,70.93,6.22,65.87,maize
65.01,52.14,19.3,19.8,64.83,5.6,89.1,maize
70.76,54.94,18.1,22.1,55.23,5.61,79.62,maize
79.2,50.0,17.92,24.25,72.2,6.67,61.98,maize
79.22,37.62,17.42,26.88,57.85,6.25,90.91,maize
88.1,48.99,15.1,20.94,65.35,5.63,77.53,maize
61.33,36.96,18.97,19.19,66.35,6.53,100.03,maize
68.01,39.19,16.05,23.73,69.13,5.55,106.81,maize
62.08,48.53,22.09,25.84,69.28,6.7,76.97,maize
92.59,37.0,23.95,22.93,71.35,6.18,92.18,maize
81.06,53.29,15.82,18.54,59.94,5.74,103.59,maize
68.77,59.4,18.37,19.64,70.79,6.49,84.91,maize
82.21,52.98,17.28,26.97,74.5,6.48,69.98,maize
87.21,36.8,15.31,20.32,64.25,6.8,96.36,maize
89.71,45.64,18.46,21.34,74.75,5.56,103.35,maize
83.15,45.97,22.25,22.38,72.47,6.85,81.09,maize
71.07,49.81,24.12,19.9,67.46,6.45,96.66,maize
65.26,52.9,24.09,19.62,59.75,6.96,69.05,maize
94.18,47.31,17.47,25.84,63.91,6.27,77.96,maize
83.72,39.09,18.91,26.72,60.16,6.49,76.26,maize
90.94,38.27,24.7,22.08,59.72,5.61,68.49,maize
80.79,43.43,23.29,21.88,59.97,6.43,95.34,maize
26.68,59.19,75.37,19.95,17.98,7.33,90.33,chickpea
52.23,69.63,83.68,17.82,14.67,6.76,66.71,chickpea
41.25,78.42,75.39,17.49,16.71,8.61,74.48,chickpea
40.29,56.04,76.48,20.95,19.79,6.01,93.55,chickpea
45.56,76.7,79.55,19.06,16.93,7.87,69.19,chickpea
21.2,62.7,82.05,17.81,18.04,8.72,67.82,chickpea
46.9,66.09,83.68,17.71,18.16,8.35,93.34,chickpea
47.33,67.43,81.18,20.48,17.42,6.09,92.93,chickpea
47.58,71.91,77.16,19.64,16.36,7.82,68.2,chickpea
46.31,79.99,75.48,20.91,16.44,8.44,88.47,chickpea
42.68,73.46,83.79,18.62,15.96,7.87,89.24,chickpea
50.49,74.95,79.36,20.27,14.72,7.52,65.17,chickpea
32.98,64.16,78.96,19.78,16.33,7.26,72.13,chickpea
34.93,60.68,75.73,19.41,18.01,7.73,78.9,chickpea
35.19,76.58,80.19,18.92,14.15,6.96,76.41,chickpea
35.95,69.5,80.34,19.43,18.59,8.28,86.54,chickpea
58.22,55.46,76.96,17.03,17.88,8.51,72.3,chickpea
57.08,56.51,84.34,18.41,14.61,7.36,72.7,chickpea
31.39,62.68,83.03,19.16,15.87,7.71,86.48,chickpea
30.9,65.34,76.22,17.72,18.09,6.51,80.75,chickpea
48.36,57.67,80.67,18.03,19.78,7.35,89.18,chickpea
42.01,56.09,81.33,20.81,17.61,8.29,91.53,chickpea
29.12,60.3,81.11,18.64,19.04,8.52,75.6,chickpea
29.47,74.51,77.75,20.29,16.54,7.87,67.87,chickpea
44.95,66.29,80.87,17.67,18.42,8.42,71.5,chickpea
23.83,55.59,81.42,19.43,17.28,6.65,76.73,chickpea
43.78,67.42,84.88,17.55,18.17,7.13,77.85,chickpea
48.7,72.31,84.91,17.51,14.62,8.03,82.35,chickpea
30.97,56.99,75.86,20.58,15.15,6.91,71.8,chickpea
34.2,56.74,80.19,17.27,18.8,6.65,81.2,chickpea
55.2,71.27,80.33,18.3,16.0,7.87,94.82,chickpea
46.47,68.94,82.31,18.86,14.36,7.57,93.73,chickpea
27.01,72.25,77.01,19.14,14.58,7.26,87.68,chickpea
33.9,71.62,82.95,20.71,15.41,7.12,69.57,chickpea
59.7,78.18,80.4,20.37,17.13,7.75,67.67,chickpea
50.21,58.19,83.26,20.13,18.25,6.1,74.09,chickpea
30.52,64.0,75.88,20.75,17.32,6.86,76.91,chickpea
37.89,70.01,80.16,20.68,16.98,8.78,90.54,chickpea
28.34,78.26,76.16,20.27,16.28,8.46,91.04,chickpea
52.24,74.75,78.05,17.32,16.42,6.49,85.85,chickpea
33.84,79.39,81.41,20.29,14.8,8.41,92.68,chickpea
39.48,70.16,82.65,17.7,17.02,7.12,69.39,chickpea
34.7,56.7,75.26,17.54,19.78,7.54,93.97,chickpea
37.3,62.8,80.06,18.76,14.63,7.79,71.48,chickpea
44.78,71.26,76.52,17.25,18.68,7.29,66.74,chickpea
59.79,56.44,81.95,20.93,15.44,6.4,68.64,chickpea
32.13,57.53,81.92,17.25,17.06,8.79,89.42,chickpea
44.61,62.66,81.24,19.11,16.56,6.37,91.6,chickpea
37.99,59.87,78.68,18.66,18.97,8.05,88.08,chickpea
20.44,65.4,79.81,17.08,15.56,8.13,69.11,chickpea
41.41,60.38,75.12,17.96,19.86,8.24,93.79,chickpea
39.51,57.74,80.48,18.82,19.07,6.27,79.65,chickpea
26.0,63.12,82.37,18.9,16.26,7.1,78.78,chickpea
51.4,77.3,84.55,20.15,15.89,7.93,78.13,chickpea
30.19,76.02,75.38,20.61,16.77,7.78,84.78,chickpea
55.8,70.92,81.14,17.27,17.11,6.42,87.12,chickpea
40.49,72.01,75.42,17.34,18.3,6.2,67.14,chickpea
20.48,78.91,82.38,18.41,15.78,6.98,88.24,chickpea
46.45,59.63,76.74,17.39,17.96,8.14,72.95,chickpea
20.84,57.05,84.68,18.18,18.62,7.75,76.46,chickpea
28.23,58.03,81.15,20.1,17.86,7.48,66.26,chickpea
58.74,74.97,77.93,20.92,17.61,7.63,87.44,chickpea
52.47,71.41,76.28,18.35,19.57,6.63,76.17,chickpea
37.28,65.99,81.13,20.77,15.44,6.34,70.92,chickpea
55.48,71.15,77.86,20.26,19.17,8.37,92.57,chickpea
30.09,73.88,79.61,20.37,18.37,8.17,84.68,chickpea
27.1,68.63,84.85,20.75,14.26,6.46,68.95,chickpea
49.04,75.44,77.14,19.02,19.04,8.05,81.27,chickpea
43.61,67.71,77.98,19.26,18.13,8.45,84.09,chickpea
50.44,59.0,79.62,17.04,15.48,8.03,94.75,chickpea
23.97,65.04,83.0,17.82,17.33,8.05,83.48,chickpea
27.52,63.88,82.84,19.22,14.03,8.13,66.06,chickpea
49.83,60.06,84.58,18.47,15.96,6.42,74.17,chickpea
55.07,79.91,78.68,18.79,18.33,8.48,82.79,chickpea
35.66,65.32,81.96,17.01,17.72,7.0,88.83,chickpea
23.72,69.71,79.81,19.57,14.39,7.62,81.84,chickpea
42.43,70.09,81.76,20.22,15.62,8.31,79.95,chickpea
23.08,56.46,78.34,20.14,18.25,8.21,80.52,chickpea
37.61,58.69,78.28,18.74,14.53,6.62,82.95,chickpea
49.43,79.96,84.33,19.57,16.53,7.78,88.57,chickpea
24.73,65.25,83.4,18.54,17.43,7.65,70.53,chickpea
34.49,63.36,75.26,17.1,18.99,6.76,80.54,chickpea
31.95,78.52,77.59,18.72,19.24,8.36,70.58,chickpea
52.11,66.45,79.83,17.53,14.48,8.04,79.89,chickpea
37.47,73.24,82.66,17.64,17.66,6.38,87.54,chickpea
46.28,78.92,75.69,17.23,15.69,6.73,72.41,chickpea
56.25,61.24,77.72,20.04,16.7,8.17,66.96,chickpea
39.5,55.84,75.63,20.63,14.84,7.49,77.33,chickpea
33.89,77.5,75.22,19.66,19.78,7.57,93.1,chickpea
22.09,65.47,77.6,19.92,19.89,6.72,84.63,chickpea
27.92,69.13,79.64,20.89,17.65,6.98,68.42,chickpea
26.05,60.63,77.51,20.4,17.37,7.47,68.44,chickpea
54.41,73.07,75.68,19.83,17.26,6.23,78.75,chickpea
39.39,59.14,84.46,20.4,18.01,7.29,77.35,chickpea
